,close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,stock_code,volume
234,22433.15,2025-03-12 13:09:00,NFO,27-MAR-2025,22434.0,22423.0,22425.5,17892150,Futures,NIFTY,4575
235,22434.0,2025-03-12 13:10:00,NFO,27-MAR-2025,22434.0,22426.75,22432.9,17890350,Futures,NIFTY,4425
236,22425.0,2025-03-12 13:11:00,NFO,27-MAR-2025,22434.05,22425.0,22434.0,17890350,Futures,NIFTY,12225
237,22425.0,2025-03-12 13:12:00,NFO,27-MAR-2025,22426.6,22420.0,22425.0,17890350,Futures,NIFTY,3825
238,22427.8,2025-03-12 13:13:00,NFO,27-MAR-2025,22432.6,22425.0,22425.0,17894925,Futures,NIFTY,4125
239,22445.0,2025-03-12 13:14:00,NFO,27-MAR-2025,22447.3,22426.85,22427.8,17894925,Futures,NIFTY,36975
240,22450.0,2025-03-12 13:15:00,NFO,27-MAR-2025,22451.0,22441.25,22441.25,17905050,Futures,NIFTY,31650
241,22459.0,2025-03-12 13:16:00,NFO,27-MAR-2025,22460.0,22445.2,22450.0,17905050,Futures,NIFTY,25725
242,22457.0,2025-03-12 13:17:00,NFO,27-MAR-2025,22460.0,22450.65,22458.7,17905050,Futures,NIFTY,13875
243,22460.5,2025-03-12 13:18:00,NFO,27-MAR-2025,22469.0,22457.05,22457.2,17897475,Futures,NIFTY,27375
244,22465.0,2025-03-12 13:19:00,NFO,27-MAR-2025,22468.0,22457.0,22464.75,17897475,Futures,NIFTY,12300
245,22461.2,2025-03-12 13:20:00,NFO,27-MAR-2025,22466.45,22459.25,22465.0,17897475,Futures,NIFTY,11100
246,22459.85,2025-03-12 13:21:00,NFO,27-MAR-2025,22464.85,22454.05,22464.85,17897475,Futures,NIFTY,7275
247,22468.9,2025-03-12 13:22:00,NFO,27-MAR-2025,22474.45,22459.35,22460.0,17896725,Futures,NIFTY,20400
248,22478.55,2025-03-12 13:23:00,NFO,27-MAR-2025,22479.75,22468.9,22468.9,17896725,Futures,NIFTY,36375
249,22479.7,2025-03-12 13:24:00,NFO,27-MAR-2025,22483.7,22473.25,22479.0,17896725,Futures,NIFTY,43650
250,22470.7,2025-03-12 13:25:00,NFO,27-MAR-2025,22479.8,22467.3,22475.0,17877675,Futures,NIFTY,16350
251,22478.95,2025-03-12 13:26:00,NFO,27-MAR-2025,22479.05,22470.7,22470.7,17877675,Futures,NIFTY,8850
252,22466.05,2025-03-12 13:27:00,NFO,27-MAR-2025,22479.7,22466.0,22479.7,17877675,Futures,NIFTY,5400
253,22463.05,2025-03-12 13:28:00,NFO,27-MAR-2025,22471.15,22463.05,22471.15,17869425,Futures,NIFTY,8025
254,22465.05,2025-03-12 13:29:00,NFO,27-MAR-2025,22470.0,22463.05,22463.05,17869425,Futures,NIFTY,7875
255,22475.0,2025-03-12 13:30:00,NFO,27-MAR-2025,22480.0,22464.1,22465.05,17869425,Futures,NIFTY,14475
256,22478.3,2025-03-12 13:31:00,NFO,27-MAR-2025,22481.0,22472.1,22475.0,17838225,Futures,NIFTY,16275
257,22478.05,2025-03-12 13:32:00,NFO,27-MAR-2025,22478.85,22471.7,22475.7,17838225,Futures,NIFTY,5625
258,22472.75,2025-03-12 13:33:00,NFO,27-MAR-2025,22489.0,22472.75,22478.05,17838225,Futures,NIFTY,18225
259,22461.05,2025-03-12 13:34:00,NFO,27-MAR-2025,22473.0,22460.4,22472.75,17828400,Futures,NIFTY,12825
260,22452.55,2025-03-12 13:35:00,NFO,27-MAR-2025,22464.4,22448.9,22462.0,17828400,Futures,NIFTY,24150
261,22458.0,2025-03-12 13:36:00,NFO,27-MAR-2025,22459.0,22452.6,22453.05,17828400,Futures,NIFTY,8625
262,22458.0,2025-03-12 13:37:00,NFO,27-MAR-2025,22463.0,22453.0,22458.0,17824950,Futures,NIFTY,4425
263,22460.85,2025-03-12 13:38:00,NFO,27-MAR-2025,22462.35,22455.0,22455.0,17824950,Futures,NIFTY,3600
264,22453.95,2025-03-12 13:39:00,NFO,27-MAR-2025,22461.0,22451.0,22460.85,17824950,Futures,NIFTY,7200
265,22459.7,2025-03-12 13:40:00,NFO,27-MAR-2025,22463.95,22455.0,22456.25,17825700,Futures,NIFTY,4725
266,22458.1,2025-03-12 13:41:00,NFO,27-MAR-2025,22462.05,22455.0,22459.7,17825700,Futures,NIFTY,3975
267,22460.0,2025-03-12 13:42:00,NFO,27-MAR-2025,22464.95,22458.1,22458.1,17825700,Futures,NIFTY,1800
268,22448.1,2025-03-12 13:43:00,NFO,27-MAR-2025,22461.1,22445.0,22460.0,17825550,Futures,NIFTY,6300
